step,projection,sem
20,19.47397,0.3403018651436133
40,24.27393,0.3657333589489149
60,24.083426,0.37194578542734685
80,24.909481,0.3769044874021613
100,24.524065,0.38209136880368094
120,23.496683,0.3860188233923692
140,23.936258,0.37548574416396924
160,24.069954,0.3853765953760379
180,24.328718,0.3910574447543318
200,24.379917,0.3849157094985189
220,24.391788,0.3798477060089283
240,24.10516,0.3829772725984738
260,24.038652,0.38005642793778205
280,24.52663,0.37361577850356686
300,24.550798,0.3734175035534253
320,24.2913,0.3770706814218409
340,24.626701,0.3766715197768797
360,24.497246,0.3789801279559597
380,24.62889,0.37945442078949265
397,24.564608,0.3812038979620812
